Time,Discharge
13:56:28..249,289.43
13:56:28..360,288.01
13:56:28..456,286.59
13:56:28..550,285.23
13:56:28..647,283.91
13:56:28..759,282.65
13:56:28..850,281.39
13:56:28..947,280.14
13:56:29..045,278.92
13:56:29..158,277.71
13:56:29..255,276.54
13:56:29..350,275.34
13:56:29..443,274.16
13:56:29..555,273.01
13:56:29..652,271.88
13:56:29..749,270.79
13:56:29..844,269.75
13:56:29..956,268.74
13:56:30..055,267.78
13:56:30..146,266.89
13:56:30..289,266.06
13:56:30..355,265.32
13:56:30..452,264.62
13:56:30..549,263.93
13:56:30..647,264.63
13:56:30..759,265.32
13:56:30..854,266
13:56:30..948,266.68
13:56:31..048,267.34
13:56:31..161,267.99
13:56:31..255,268.59
13:56:31..353,269.13
13:56:31..448,269.63
13:56:31..560,270.15
13:56:31..654,269.32
13:56:31..751,268.52
13:56:31..845,266.34
13:56:31..961,264.21
13:56:32..055,262.15
13:56:32..151,260.06
13:56:32..248,258.02
13:56:32..359,256.03
13:56:32..455,254.1
13:56:32..551,252.21
13:56:32..648,250.34
13:56:32..760,248.53
13:56:32..855,248.13
13:56:32..951,247.71
13:56:33..048,247.27
13:56:33..161,246.84
13:56:33..256,246.44
13:56:33..353,246.04
13:56:33..447,245.62
13:56:33..562,245.15
13:56:33..655,244.67
13:56:33..747,244.15
13:56:33..848,243.65
13:56:33..961,243.18
13:56:34..055,244.13
13:56:34..152,245.1
13:56:34..247,246.05
13:56:34..360,247.03
13:56:34..457,246.64
13:56:34..551,243.56
13:56:34..650,239.22
13:56:34..760,235.01
13:56:34..856,230.88
13:56:34..952,226.85
13:56:35..049,221.53
13:56:35..161,216.3
13:56:35..258,211.17
13:56:35..351,206.13
13:56:35..448,202.58
13:56:35..559,201.86
13:56:35..655,202.53
13:56:35..752,203.17
13:56:35..877,203.78
13:56:35..960,204.38
13:56:36..056,204.94
13:56:36..153,205.5
